epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7427,2.03246,6.16996,1.47835,0.09507,0.21566,0.07684,0.04258,1.59639,3.67351,1.08515,0.00014544,0.00014544,0.00014544
2,44.2198,1.67903,5.16072,1.25983,0.01726,0.27688,0.10814,0.06312,1.29326,3.80759,1.13904,0.000295728,0.000295728,0.000295728
3,48.4087,1.70849,4.18559,1.2932,0.00517,0.28414,0.13874,0.06833,1.33485,3.86169,1.20079,0.000441644,0.000441644,0.000441644
4,54.0059,1.66034,3.91967,1.25556,0.00587,0.44149,0.16389,0.08833,1.33333,3.57409,1.12717,0.00058319,0.00058319,0.00058319
5,58.2108,1.69816,3.4967,1.2268,0.9155,0.13107,0.24616,0.11819,1.42521,3.24694,1.19742,0.000720364,0.000720364,0.000720364
6,63.4542,1.61781,3.4505,1.22093,0.73508,0.25523,0.25161,0.13636,1.34784,2.8666,1.17809,0.000844721,0.000844721,0.000844721
7,67.763,1.54518,3.60356,1.21507,0.74505,0.28069,0.27693,0.1477,1.34352,2.4948,1.19879,0.000831865,0.000831865,0.000831865
8,74.2122,1.6061,3.23329,1.2483,0.80596,0.31826,0.5178,0.27781,1.49844,2.15647,1.23682,0.000819009,0.000819009,0.000819009
9,78.2899,1.62824,3.14177,1.26685,0.68148,0.45216,0.57847,0.30736,1.47589,1.62127,1.21357,0.000806153,0.000806153,0.000806153
10,83.7071,1.62722,3.11553,1.23142,0.58128,0.50203,0.56536,0.30877,1.3979,1.59136,1.18666,0.000793297,0.000793297,0.000793297
11,89.2789,1.58998,2.8857,1.22125,0.768,0.41149,0.59002,0.33716,1.45332,1.55516,1.21879,0.000780441,0.000780441,0.000780441
12,95.0323,1.58975,2.65751,1.19508,0.55729,0.66458,0.61197,0.3504,1.3747,1.29525,1.18917,0.000767586,0.000767586,0.000767586
13,99.8576,1.58229,2.60338,1.22854,0.79045,0.52815,0.66325,0.38691,1.35477,1.28852,1.17508,0.00075473,0.00075473,0.00075473
14,103.646,1.49822,2.51647,1.16317,0.60756,0.68668,0.68683,0.39358,1.36368,1.16141,1.17019,0.000741874,0.000741874,0.000741874
15,107.619,1.50256,2.2981,1.18486,0.52358,0.73325,0.65391,0.37896,1.34944,1.21183,1.15154,0.000729018,0.000729018,0.000729018
16,113.124,1.49871,2.19137,1.18147,0.50874,0.75994,0.70487,0.41582,1.36935,1.16422,1.19455,0.000716162,0.000716162,0.000716162
17,117.517,1.49051,2.13504,1.18913,0.58744,0.73761,0.73176,0.43627,1.2972,1.09589,1.13765,0.000703306,0.000703306,0.000703306
18,122.581,1.51784,2.12528,1.20767,0.60819,0.67894,0.75673,0.44178,1.28542,1.05696,1.1383,0.00069045,0.00069045,0.00069045
19,127.052,1.42153,1.83351,1.13385,0.56473,0.81216,0.74598,0.43694,1.26782,0.99102,1.11077,0.000677595,0.000677595,0.000677595
20,131.132,1.4512,1.8865,1.1706,0.59463,0.74792,0.7109,0.42669,1.28542,0.97646,1.13192,0.000664739,0.000664739,0.000664739
21,135.172,1.46664,1.81734,1.14624,0.57938,0.68715,0.70778,0.43343,1.30875,0.98527,1.11455,0.000651883,0.000651883,0.000651883
22,139.022,1.35506,1.87941,1.09461,0.57454,0.72245,0.71246,0.45321,1.25138,0.92986,1.14346,0.000639027,0.000639027,0.000639027
23,142.863,1.44083,1.84908,1.13396,0.52072,0.74494,0.66644,0.41657,1.30959,1.00395,1.16237,0.000626171,0.000626171,0.000626171
24,147.498,1.43578,1.6711,1.14524,0.54953,0.7726,0.72465,0.43806,1.25564,1.05271,1.15075,0.000613315,0.000613315,0.000613315
25,151.402,1.39913,1.55469,1.15331,0.65035,0.78347,0.72484,0.46236,1.25884,0.86315,1.13419,0.000600459,0.000600459,0.000600459
26,156.433,1.3744,1.47934,1.11688,0.75641,0.66206,0.74105,0.47055,1.14056,0.87299,1.0687,0.000587604,0.000587604,0.000587604
27,161.363,1.3471,1.46855,1.09445,0.6579,0.77417,0.75702,0.47949,1.16127,0.8014,1.09509,0.000574748,0.000574748,0.000574748
28,165.158,1.34664,1.45519,1.11027,0.66579,0.7828,0.76572,0.49073,1.22361,0.78074,1.10528,0.000561892,0.000561892,0.000561892
29,168.891,1.38876,1.45283,1.13155,0.72328,0.77339,0.79938,0.50881,1.23234,0.74665,1.1139,0.000549036,0.000549036,0.000549036
30,173.612,1.32697,1.38568,1.10643,0.6724,0.83301,0.80082,0.4928,1.24372,0.81382,1.13844,0.00053618,0.00053618,0.00053618
31,178.04,1.39621,1.41946,1.12182,0.69434,0.78087,0.79667,0.506,1.12238,0.75651,1.07891,0.000523324,0.000523324,0.000523324
32,181.753,1.3715,1.34132,1.13974,0.75433,0.76409,0.81021,0.52939,1.15457,0.72684,1.07901,0.000510468,0.000510468,0.000510468
33,185.442,1.28451,1.30158,1.07888,0.70328,0.81903,0.83089,0.54723,1.11802,0.70649,1.0604,0.000497613,0.000497613,0.000497613
34,189.212,1.26289,1.22793,1.09518,0.65993,0.83228,0.83724,0.56098,1.06563,0.67917,1.0586,0.000484757,0.000484757,0.000484757
35,193.04,1.28517,1.19112,1.06049,0.76133,0.80913,0.86368,0.55817,1.10608,0.65112,1.05616,0.000471901,0.000471901,0.000471901
36,197.966,1.2593,1.20919,1.05786,0.68187,0.84153,0.84795,0.5544,1.10533,0.71156,1.03608,0.000459045,0.000459045,0.000459045
37,202.246,1.30115,1.17828,1.08845,0.78963,0.78144,0.86129,0.56785,1.0436,0.73322,1.03704,0.000446189,0.000446189,0.000446189
38,206.428,1.25209,1.12789,1.07551,0.8377,0.77444,0.86879,0.56404,1.05146,0.67892,1.05268,0.000433333,0.000433333,0.000433333
39,210.115,1.33465,1.14591,1.14075,0.83788,0.76853,0.86855,0.5463,1.08902,0.69852,1.06232,0.000420477,0.000420477,0.000420477
40,214.188,1.25932,1.12147,1.06551,0.76772,0.81207,0.85103,0.56325,1.05635,0.74128,1.03119,0.000407622,0.000407622,0.000407622
41,217.928,1.2743,1.13374,1.09489,0.65903,0.86041,0.85999,0.57617,1.02169,0.74188,1.0472,0.000394766,0.000394766,0.000394766
42,222.064,1.16118,1.07852,1.01078,0.8023,0.79723,0.87184,0.59862,1.06742,0.61089,1.0516,0.00038191,0.00038191,0.00038191
43,226.104,1.23306,1.03357,1.06897,0.69113,0.87834,0.85837,0.58645,1.09252,0.60921,1.05764,0.000369054,0.000369054,0.000369054
44,229.978,1.23355,1.06174,1.04871,0.7429,0.87174,0.85187,0.57375,1.12501,0.58636,1.06285,0.000356198,0.000356198,0.000356198
45,233.866,1.1964,1.04245,1.04508,0.75849,0.85886,0.87856,0.60561,1.00518,0.54633,1.03163,0.000343342,0.000343342,0.000343342
46,238.143,1.20695,0.9892,1.0576,0.78083,0.87278,0.87511,0.61602,1.00987,0.57542,1.03166,0.000330486,0.000330486,0.000330486
47,242.724,1.19373,0.98881,1.05743,0.78332,0.8876,0.88293,0.61349,0.99354,0.536,1.04702,0.000317631,0.000317631,0.000317631
